r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.186545467376708984e+01,1.186545467376708984e+01,0.000000000000000000e+00,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.456850528717041016e+00,2.456850528717041016e+00,3.272727131843566895e-02,3.272727131843566895e-02,0.000000000000000000e+00,8.374703216552734375e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.082727241516113281e+01,1.082727241516113281e+01,0.000000000000000000e+00,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.183473110198974609e+00,2.183473110198974609e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.752271423339843750e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.063454532623291016e+01,1.063454532623291016e+01,0.000000000000000000e+00,5.320000000000000000e+02,5.320000000000000000e+02,5.310000000000000000e+02,5.310000000000000000e+02,1.983597159385681152e+00,1.983597159385681152e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.718487548828125000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.157636356353759766e+01,1.157636356353759766e+01,0.000000000000000000e+00,5.490000000000000000e+02,5.490000000000000000e+02,5.490000000000000000e+02,5.490000000000000000e+02,1.979982733726501465e+00,1.979982733726501465e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.637576904296875000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.087636375427246094e+01,1.087636375427246094e+01,0.000000000000000000e+00,4.980000000000000000e+02,4.980000000000000000e+02,4.750000000000000000e+02,4.750000000000000000e+02,2.032555341720581055e+00,2.032555341720581055e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.558211975097656250e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128181838989257812e+01,1.128181838989257812e+01,0.000000000000000000e+00,5.320000000000000000e+02,5.320000000000000000e+02,5.110000000000000000e+02,5.110000000000000000e+02,2.058593750000000000e+00,2.058593750000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.513598632812500000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.211818218231201172e+01,1.211818218231201172e+01,0.000000000000000000e+00,5.320000000000000000e+02,5.320000000000000000e+02,5.140000000000000000e+02,5.140000000000000000e+02,1.768727302551269531e+00,1.768727302551269531e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.375149536132812500e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.228727245330810547e+01,1.228727245330810547e+01,0.000000000000000000e+00,5.070000000000000000e+02,5.070000000000000000e+02,4.760000000000000000e+02,4.760000000000000000e+02,1.683878064155578613e+00,1.683878064155578613e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.340645751953125000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.172545433044433594e+01,1.172545433044433594e+01,0.000000000000000000e+00,5.160000000000000000e+02,5.160000000000000000e+02,4.880000000000000000e+02,4.880000000000000000e+02,1.808849811553955078e+00,1.808849811553955078e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.285853881835937500e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.205636405944824219e+01,1.205636405944824219e+01,0.000000000000000000e+00,4.460000000000000000e+02,4.460000000000000000e+02,3.640000000000000000e+02,3.640000000000000000e+02,1.547430038452148438e+00,1.547430038452148438e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.259179687500000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.358909130096435547e+01,1.358909130096435547e+01,0.000000000000000000e+00,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,1.815798640251159668e+00,1.815798640251159668e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.017917663574218750e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.156000041961669922e+01,1.156000041961669922e+01,0.000000000000000000e+00,5.440000000000000000e+02,5.440000000000000000e+02,5.310000000000000000e+02,5.310000000000000000e+02,1.885505676269531250e+00,1.885505676269531250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.113739257812500000e+03
