r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.0,0,1,[x8 - (x8 - x9)**2],"sub,x8,n2,sub,x8,sub,x12,sub,x12,x9",10.760714508176774,10.760714508176774,False
0.0,0,1,[-x1 + x8 + cos(x12 + x7**4 - x7)],"sub,x8,sub,x1,cos,sub,x12,sub,x7,n2,n2,x7",10.541543386487717,10.541543386487717,False
0.0,0,1,[-x12*(x7**2 + x7 - x8)**2 + x8],"sub,x8,mul,x12,n2,sub,x7,sub,x8,sub,x8,sub,x8,n2,x7",10.352774361077074,10.352774361077074,False
0.0,0,1,[x8 - (x12 - sin(x9**4)**2)**2],"sub,x8,n2,sub,x12,sub,x8,sub,x8,n2,sin,n2,n2,x9",10.500459487787765,10.500459487787765,False
0.0,4,1,[x8 - (x4 + x7 - x8)**2],"sub,x8,n2,sub,x7,sub,x8,sub,x8,sub,x8,x4",11.081605000867008,11.081605000867008,False
0.0,0,1,[-x11 + 2*x8],"sub,x8,sub,x11,sub,x8,sub,x8,sub,x8,sub,x8,x8",10.538473096992297,10.538473096992297,False
0.0,0,1,[x8*cos(x7**2 - x8)],"mul,x8,cos,sub,x7,sub,x7,sub,x8,n2,x7",10.127986691277984,10.127986691277984,False
0.0,0,1,[-(x12**2 - x12 + x8**2)**2 + cos(x8)],"sub,cos,x8,n2,sub,sub,x8,sub,x12,n2,x12,sub,x8,n2,x8",11.120208549480164,11.120208549480164,False
0.0,0,1,[x8 - (x10 + x12 - x8)**2],"sub,x8,n2,sub,x8,sub,x8,sub,x12,sub,x8,x10",11.080786473077652,11.080786473077652,False
0.0,0,1,[x8 - (-x1 - x6 - x7**2 + x8)**8],"sub,x8,n2,n2,n2,sub,sub,sub,x8,n2,x7,x6,x1",131.5323119828716,131.5323119828716,False
0.0,0,1,[(-x12**2 + x12)**4],"sub,x8,sub,x8,n2,n2,sub,x12,n2,x12",10.0,10.0,False
0.0,0,1,[-x3 - x6 + x8**2 + x8 + (x11 - x7)**2],"sub,x8,sub,sub,add,x3,x6,n2,x8,n2,sub,x11,x7",10.144321863032062,10.144321863032062,False
0.0,0,1,[-x1 + x3 + cos(x12 + x7**2 - x7)],"sub,x3,sub,x1,cos,sub,x12,sub,x7,n2,x7",10.560719695766371,10.560719695766371,False
