r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.639322102069854736e-02,5.639322102069854736e-02,2.010257169604301453e-02,9.367079474031925201e-03,2.633792720735073090e-02,1.692909049987792969e+01,1.609090995788574219e+01,1.316896360367536545e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.659327745437622070e+00,1.611219525337219238e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.316896360367536545e-02,1.624550628662109375e+02
5.639322102069854736e-02,2.453117258846759796e-02,1.126523688435554504e-02,5.357111804187297821e-03,1.495622191578149796e-02,1.528909111022949219e+01,1.401818180084228516e+01,1.406259275972843170e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.462876319885253906e+00,1.410899043083190918e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.406259275972843170e-02,3.570395202636718750e+02
5.639322102069854736e-02,2.349727787077426910e-02,1.147187314927577972e-02,6.294988561421632767e-03,1.452256832271814346e-02,1.797272682189941406e+01,1.625454521179199219e+01,1.429258100688457489e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.570127248764038086e+00,1.517107844352722168e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.429258100688457489e-02,7.386718139648437500e+02
5.639322102069854736e-02,3.116779401898384094e-02,1.376736722886562347e-02,7.769616320729255676e-03,1.599046960473060608e-02,1.618727302551269531e+01,1.528571414947509766e+01,1.514152530580759048e-02,5.500000000000000000e+02,5.600000000000000000e+01,5.500000000000000000e+02,5.600000000000000000e+01,1.486717581748962402e+00,1.395907402038574219e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.514152530580759048e-02,9.240507812500000000e+02
5.639322102069854736e-02,2.885905839502811432e-02,1.113823801279067993e-02,6.414169445633888245e-03,1.444016303867101669e-02,1.711272811889648438e+01,1.590909099578857422e+01,1.479084417223930359e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.537108540534973145e+00,1.492350578308105469e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.479084417223930359e-02,1.146151611328125000e+03
5.639322102069854736e-02,2.425985597074031830e-02,1.430293358862400055e-02,8.049500174820423126e-03,1.711184903979301453e-02,1.592909049987792969e+01,1.478181838989257812e+01,1.595134660601615906e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.490000000000000000e+02,5.400000000000000000e+01,1.520787000656127930e+00,1.445733428001403809e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.595134660601615906e-02,1.350031860351562500e+03
5.639322102069854736e-02,2.403179369866847992e-02,1.328226644545793533e-02,7.276364602148532867e-03,1.682521961629390717e-02,1.534545421600341797e+01,1.441071414947509766e+01,1.638828217983245850e-02,5.500000000000000000e+02,5.600000000000000000e+01,5.500000000000000000e+02,5.600000000000000000e+01,1.470260262489318848e+00,1.355438828468322754e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.638828217983245850e-02,1.557654052734375000e+03
5.639322102069854736e-02,3.253667801618576050e-02,1.795203052461147308e-02,9.820127859711647034e-03,2.155913412570953369e-02,1.420363616943359375e+01,1.327272701263427734e+01,1.897370815277099609e-02,5.460000000000000000e+02,5.500000000000000000e+01,5.400000000000000000e+02,5.400000000000000000e+01,1.325048923492431641e+00,1.179100513458251953e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.897370815277099609e-02,1.761276000976562500e+03
5.639322102069854736e-02,3.150308877229690552e-02,1.449723914265632629e-02,7.256081793457269669e-03,1.822006143629550934e-02,1.381636333465576172e+01,1.330909061431884766e+01,1.859688572585582733e-02,5.470000000000000000e+02,5.500000000000000000e+01,5.440000000000000000e+02,5.500000000000000000e+01,1.411243438720703125e+00,6.999999880790710449e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.859688572585582733e-02,1.983573730468750000e+03
5.639322102069854736e-02,3.159390389919281006e-02,1.570875942707061768e-02,6.803639233112335205e-03,2.058917842805385590e-02,1.378727245330810547e+01,1.298181819915771484e+01,1.959303207695484161e-02,5.450000000000000000e+02,5.400000000000000000e+01,5.350000000000000000e+02,5.400000000000000000e+01,6.999999880790710449e-01,6.499999761581420898e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.959303207695484161e-02,2.184358886718750000e+03
