r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
7.307451963424682617e-01,7.307451963424682617e-01,9.101014584302902222e-02,6.589405238628387451e-02,6.543792486190795898e-01,1.572181797027587891e+01,1.950909042358398438e+01,3.271896243095397949e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.252891302108764648e+00,8.399658799171447754e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.271896243095397949e-01,9.768092346191406250e+01
7.307451963424682617e-01,2.342168390750885010e-01,3.223554044961929321e-02,1.560588926076889038e-02,1.538927555084228516e-01,1.718545532226562500e+01,1.936363601684570312e+01,2.405411899089813232e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.209937334060668945e+00,1.098023533821105957e+00,1.818181830458343029e-03,0.000000000000000000e+00,2.405411899089813232e-01,1.954265289306640625e+02
8.941549658775329590e-01,8.941549658775329590e-01,1.202944666147232056e-01,6.845189630985260010e-02,6.657086610794067383e-01,1.902727317810058594e+01,1.912727355957031250e+01,4.531249105930328369e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.951709032058715820e+00,1.112603306770324707e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.531249105930328369e-01,2.877705383300781250e+02
8.941549658775329590e-01,4.938805997371673584e-01,1.275526285171508789e-01,4.450021684169769287e-02,3.940787911415100098e-01,1.885818099975585938e+01,1.883636283874511719e+01,4.236018359661102295e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.157026290893554688e+00,1.206429719924926758e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.236018359661102295e-01,3.981230163574218750e+02
9.666293859481811523e-01,9.666293859481811523e-01,5.957972258329391479e-02,8.548076450824737549e-02,8.431811928749084473e-01,1.904909133911132812e+01,1.909090995788574219e+01,6.333914995193481445e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.125618219375610352e+00,1.144298672676086426e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.333914995193481445e-01,4.997848205566406250e+02
9.666293859481811523e-01,4.178228974342346191e-01,1.508263964205980301e-02,2.044321596622467041e-02,2.032024115324020386e-01,1.789636421203613281e+01,1.721818161010742188e+01,4.182969629764556885e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.128023386001586914e+00,1.226675391197204590e+00,1.272727269679307938e-02,0.000000000000000000e+00,4.182969629764556885e-01,6.258326416015625000e+02
9.666293859481811523e-01,4.844744205474853516e-01,2.480669412761926651e-03,3.939640522003173828e-02,3.939302563667297363e-01,1.709818267822265625e+01,1.976363563537597656e+01,4.061135947704315186e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.129442453384399414e+00,6.819679141044616699e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.061135947704315186e-01,7.507592163085937500e+02
9.666293859481811523e-01,7.590161561965942383e-01,1.801877915859222412e-01,7.395346462726593018e-02,6.933637261390686035e-01,1.753454589843750000e+01,1.973214340209960938e+01,5.497387051582336426e-01,5.490000000000000000e+02,5.600000000000000000e+01,5.420000000000000000e+02,5.400000000000000000e+01,1.926080822944641113e+00,3.499999940395355225e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.497387051582336426e-01,8.860756835937500000e+02
9.666293859481811523e-01,7.715486288070678711e-01,1.421204116195440292e-02,6.941546499729156494e-02,6.938257217407226562e-01,1.730545425415039062e+01,1.932727241516113281e+01,6.217821836471557617e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.490000000000000000e+02,5.500000000000000000e+01,2.058669567108154297e+00,7.500000000000000000e-01,1.090909074991941452e-02,0.000000000000000000e+00,6.217821836471557617e-01,1.044716186523437500e+03
9.666293859481811523e-01,7.568457722663879395e-01,1.456948667764663696e-01,3.653713315725326538e-02,3.377902805805206299e-01,1.784727287292480469e+01,1.923636436462402344e+01,4.797862470149993896e-01,5.410000000000000000e+02,5.500000000000000000e+01,5.090000000000000000e+02,3.600000000000000000e+01,1.954749345779418945e+00,1.045359730720520020e+00,1.090909074991941452e-02,0.000000000000000000e+00,4.797862470149993896e-01,1.159076904296875000e+03
9.666293859481811523e-01,5.835087299346923828e-01,3.096939623355865479e-02,4.325870051980018616e-02,4.288708865642547607e-01,1.848908996582031250e+01,1.943636322021484375e+01,4.543285667896270752e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.953212022781372070e+00,1.017743468284606934e+00,9.090908803045749664e-03,0.000000000000000000e+00,4.543285667896270752e-01,1.267980224609375000e+03
