r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
1.0,0,1,[(x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x6**2)**2],"n2,add,n2,x5,add,n2,x4,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3",0.0,0.0,True
1.0,0,1,[x2**2 + x4**2 + x5**2 + x6**2 + (x1 + cos(x3))**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,n2,x5,n2,add,cos,x3,x1",0.011408542840516858,0.011408542840516858,False
1.0,0,1,[x2**2 + x4**2 + x5**2 + x6**2 + (x1 + cos(x3))**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,mul,x5,x5,n2,add,cos,x3,x1",0.011408542840516858,0.011408542840516858,False
1.0,0,1,[(x1**2 + x2**2 + x3**2 - x3 + x4**2 + x5**2 + x6**2)**2],"n2,add,n2,x5,add,n2,x4,sub,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3,x3",0.03036403598574847,0.03036403598574847,False
1.0,0,1,[(x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x6**2)**4],"n2,n2,add,n2,x5,add,n2,x4,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3",0.0,0.0,True
1.0,0,1,[(x1**2 + x2**2 + x3**2 - x3 + x4**2 + x5**2 + x6**2)**2],"n2,add,n2,x5,add,n2,x3,sub,add,add,n2,x1,n2,x6,add,n2,x2,n2,x4,x3",0.03036403598574847,0.03036403598574847,False
1.0,0,1,[(x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x6**2)**2],"n2,add,n2,x5,add,n2,x4,add,add,n2,x1,n2,x6,add,mul,x2,x2,n2,x3",0.0,0.0,True
1.0,0,1,[(x2**2 + x4**2 + x5**2 + x6**2 + (x1 + cos(x3))**2)**2],"n2,add,n2,x6,add,n2,x4,add,add,n2,x2,n2,x5,n2,add,cos,x3,x1",0.04952727939004442,0.04952727939004442,False
1.0,0,1,[(x1**2 + x2**2 + x3**2 + x4**4 + x5**2 + x6**2)**2],"n2,add,n2,x5,add,n2,mul,x4,x4,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3",0.776822550896868,0.776822550896868,False
1.0,0,1,[x2**2 + 2*x4**2 + x5**2 + x6**2 + (x1 + cos(x3))**2],"add,n2,x6,add,n2,x4,add,n2,x4,add,add,n2,x2,n2,x5,n2,add,cos,x3,x1",0.005387139584683868,0.005387139584683868,False
0.9999872081740369,0,1,[x2**2 + x4**2 + x6**2 + (x1 + x3)**2 + (x5**2 + x6**2)**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,n2,add,n2,x6,n2,x5,n2,add,x3,x1",0.005426060237082459,0.005426060237082459,False
0.99998138535778,0,1,[x2**2 + x4**2 + x5**2 + x6**2 + (x1 + cos(x3)**2)**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,n2,x5,n2,add,n2,cos,x3,x1",0.021050426976561475,0.021050426976561475,False
0.9999759449187637,0,1,[2*x2**2 + x4**2 + x5**2 + x6**2 + (x1 + x3)**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,add,n2,x2,n2,x5,n2,add,x3,x1",0.004482223526653503,0.004482223526653503,False
0.9999725670062072,0,1,[x2**2 + x3**2 + x4**2 + x5**2 + x6**2 + (x1 + x3)**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,add,n2,x3,n2,x5,n2,add,x3,x1",0.00400440290358244,0.00400440290358244,False
0.9999721493876477,0,1,[x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x5 + x6**2],"add,mul,x5,x5,add,n2,x4,add,add,add,add,n2,x1,n2,x2,n2,x6,x5,n2,x3",0.0047319647182179425,0.0047319647182179425,False
0.9999721493876477,0,1,[x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x5 + x6**2],"add,mul,x5,x5,add,n2,x4,add,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3,x5",0.0047319647182179425,0.0047319647182179425,False
0.9999715971631584,0,1,[(x1**2 + x2**2 + x3**2 + x3 + x4**2 + x5**2 + x6**2)**2],"n2,add,n2,x5,add,n2,x4,add,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3,x3",0.025444497261348654,0.025444497261348654,False
0.9999686344913056,0,1,[x1**2 + x1 + x2**2 + x3**2 + x4**2 + x5**2 + x6**2],"add,mul,x5,x5,add,n2,x4,add,add,add,add,n2,x1,n2,x2,n2,x6,x1,n2,x3",0.0007032497366324709,0.0007032497366324709,False
0.9999680184612347,0,1,[x2**2 + x4**2 + x5**2 + x6**2 + (x1 + x3)**2 + sin(x2)**2],"add,n2,x6,add,n2,x4,add,add,n2,sin,x2,add,n2,x2,n2,x5,n2,add,x3,x1",0.004460782274492786,0.004460782274492786,False
0.9999680184612347,0,1,[x2**2 + x4**2 + x5**2 + x6**2 + (x1 + x3)**2 + sin(x2)**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,add,n2,sin,x2,n2,x5,n2,add,x3,x1",0.004460782274492786,0.004460782274492786,False
0.9999637945846457,0,1,[x1**2 + x2**2 + x3**2 - x3 + x4**2 + x5**2 + x6**2],"add,n2,x5,add,n2,x4,sub,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3,x3",0.005237990804555234,0.005237990804555234,False
0.9999637945846457,0,1,[x1**2 + x2**2 + x3**2 - x3 + x4**2 + x5**2 + x6**2],"add,mul,x5,x5,add,n2,x3,sub,add,add,add,n2,x1,n2,x2,n2,x6,n2,x4,x3",0.005237990804555234,0.005237990804555234,False
0.9999615776009647,0,1,[x2**2 + x4**2 + x5**2 + x6**2 + (x1 + sin(x3))**2],"add,n2,x6,add,n2,x4,add,add,n2,x2,n2,x5,n2,add,sin,x3,x1",0.0039016568164074003,0.0039016568164074003,False
0.999960408548673,0,1,[x1**2 + x2**2 + 2*x3**2 + x4**2 + x5**2 + x6**2],"add,n2,x5,add,n2,x4,add,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3,n2,x3",0.009185370305718473,0.009185370305718473,False
0.9999603268172251,0,1,[x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x6**2 - cos(x3)],"add,n2,x5,add,n2,x4,sub,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3,cos,x3",0.00012197887837169453,0.00012197887837169453,False
0.9999602451382469,0,1,[x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x6**2],"add,mul,x5,x5,add,n2,x4,add,add,n2,x1,n2,x6,add,n2,x2,n2,x3",0.0,0.0,True
0.9999602451382469,0,1,[x1**2 + x2**2 + x3**2 + x4**2 + x5**2 + x6**2],"add,mul,x5,x5,add,n2,x3,add,add,add,n2,x1,n2,x2,n2,x6,n2,x4",0.0,0.0,True
